trp_multiplayer_profile_troop_male|Профиль мультиплеера (муж.)
trp_multiplayer_profile_troop_male_pl|Профиль мультиплеера (муж.)
trp_multiplayer_profile_troop_female|Профиль мультиплеера (жен.)
trp_multiplayer_profile_troop_female_pl|Профиль мультиплеера (жен.)
trp_temp_troop|Временный юнит
trp_temp_troop_pl|Временный юнит
trp_find_item_cheat|Поиск предмета (читат)
trp_find_item_cheat_pl|Поиск предмета (читат)
trp_random_town_sequence|Случайный город
trp_random_town_sequence_pl|Случайный город
trp_tournament_participants|Участники турнира
trp_tournament_participants_pl|Участники турнира
trp_tutorial_maceman|Булавист
trp_tutorial_maceman_pl|Булависты
trp_tutorial_archer|Лучник
trp_tutorial_archer_pl|Лучники
trp_tutorial_swordsman|Мечник
trp_tutorial_swordsman_pl|Мечники
trp_novice_fighter|Новичок-гладиатор
trp_novice_fighter_pl|Новички-гладиаторы
trp_regular_fighter|Опытный гладиатор
trp_regular_fighter_pl|Опытные гладиаторы
trp_veteran_fighter|Ветеран-гладиатор
trp_veteran_fighter_pl|Ветераны-гладиаторы
trp_champion_fighter|Чемпион-гладиатор
trp_champion_fighter_pl|Чемпионы-гладиаторы
trp_arena_training_fighter_1|Новичок-гладиатор
trp_arena_training_fighter_1_pl|Новички-гладиаторы
trp_arena_training_fighter_2|Новичок-гладиатор
trp_arena_training_fighter_2_pl|Новички-гладиаторы
trp_arena_training_fighter_3|Опытный гладиатор
trp_arena_training_fighter_3_pl|Опытные гладиаторы
trp_arena_training_fighter_4|Опытный гладиатор
trp_arena_training_fighter_4_pl|Опытные гладиаторы
trp_arena_training_fighter_5|Опытный гладиатор
trp_arena_training_fighter_5_pl|Опытные гладиаторы
trp_arena_training_fighter_6|Ветеран-гладиатор
trp_arena_training_fighter_6_pl|Ветераны-гладиаторы
trp_arena_training_fighter_7|Ветеран-гладиатор
trp_arena_training_fighter_7_pl|Ветераны-гладиаторы
trp_arena_training_fighter_8|Ветеран-гладиатор
trp_arena_training_fighter_8_pl|Ветераны-гладиаторы
trp_arena_training_fighter_9|Чемпион-гладиатор
trp_arena_training_fighter_9_pl|Чемпионы-гладиаторы
trp_arena_training_fighter_10|Чемпион-гладиатор
trp_arena_training_fighter_10_pl|Чемпионы-гладиаторы
trp_cattle|Скот
trp_cattle_pl|Скот
trp_farmer|Фермер
trp_farmer_pl|Фермеры
trp_townsman|Горожанин
trp_townsman_pl|Горожане
trp_watchman|Стражник
trp_watchman_pl|Стражники
trp_caravan_guard|Охранник каравана
trp_caravan_guard_pl|Охранники каравана
trp_mercenary_swordsman|Наёмный мечник
trp_mercenary_swordsman_pl|Наёмные мечники
trp_hired_blade|Наёмный клинок
trp_hired_blade_pl|Наёмные клинки
trp_mercenary_crossbowman|Наёмный арбалетчик
trp_mercenary_crossbowman_pl|Наёмные арбалетчики
trp_mercenary_horseman|Наёмный всадник
trp_mercenary_horseman_pl|Наёмные всадники
trp_mercenary_cavalry|Наёмная кавалерия
trp_mercenary_cavalry_pl|Наёмная кавалерия
trp_mercenaries_end|Наёмники (конец)
trp_mercenaries_end_pl|Наёмники (конец)
trp_swadian_recruit|Рекрут Свадии
trp_swadian_recruit_pl|Рекруты Свадии
trp_swadian_militia|Ополченец Свадии
trp_swadian_militia_pl|Ополченцы Свадии
trp_swadian_footman|Рабочий трутень Улья
trp_swadian_footman_pl|Рабочие трутни Улья
trp_swadian_infantry|Трутень-воин Улья
trp_swadian_infantry_pl|Трутни-воины Улья
trp_swadian_sergeant|Сержант Свадии
trp_swadian_sergeant_pl|Сержанты Свадии
trp_swadian_skirmisher|Трутень-охотник Улья
trp_swadian_skirmisher_pl|Трутни-охотники Улья
trp_swadian_crossbowman|Трутень-исследователь Улья
trp_swadian_crossbowman_pl|Трутни-исследователи Улья
trp_swadian_sharpshooter|Меткий стрелок Свадии
trp_swadian_sharpshooter_pl|Меткие стрелки Свадии
trp_swadian_man_at_arms|Трутень-мусорщик Улья
trp_swadian_man_at_arms_pl|Трутни-мусорщики Улья
trp_swadian_knight|Преторианский страж Улья
trp_swadian_knight_pl|Преторианские стражи Улья
trp_swadian_messenger|Гонец Свадии
trp_swadian_messenger_pl|Гонцы Свадии
trp_swadian_deserter|Дезертир Свадии
trp_swadian_deserter_pl|Дезертиры Свадии
trp_swadian_prison_guard|Тюремщик
trp_swadian_prison_guard_pl|Тюремщики
trp_swadian_castle_guard|Замковый страж
trp_swadian_castle_guard_pl|Замковые стражи
trp_vaegir_recruit|Рекрут Вегира
trp_vaegir_recruit_pl|Рекруты Вегира
trp_vaegir_footman|Шекский воин
trp_vaegir_footman_pl|Шекские воины
trp_vaegir_skirmisher|Шекский охотник
trp_vaegir_skirmisher_pl|Шекские охотники
trp_vaegir_archer|Визгун
trp_vaegir_archer_pl|Визгуны
trp_vaegir_marksman|Меткий стрелок Вегира
trp_vaegir_marksman_pl|Меткие стрелки Вегира
trp_vaegir_veteran|Ветеран Вегира
trp_vaegir_veteran_pl|Ветераны Вегира
trp_vaegir_infantry|Шекский хребтостраж
trp_vaegir_infantry_pl|Шекские хребтостражи
trp_vaegir_guard|Страж Вегира
trp_vaegir_guard_pl|Стражи Вегира
trp_vaegir_horseman|Шекский разведчик
trp_vaegir_horseman_pl|Шекские разведчики
trp_vaegir_knight|Сотенный страж шеков
trp_vaegir_knight_pl|Сотенные стражи шеков
trp_vaegir_messenger|Гонец Вегира
trp_vaegir_messenger_pl|Гонцы Вегира
trp_vaegir_deserter|Дезертир Вегира
trp_vaegir_deserter_pl|Дезертиры Вегира
trp_vaegir_prison_guard|Тюремщик
trp_vaegir_prison_guard_pl|Тюремщики
trp_vaegir_castle_guard|Замковый страж
trp_vaegir_castle_guard_pl|Замковые стражи
trp_khergit_tribesman|Кочевник Хергита
trp_khergit_tribesman_pl|Кочевники Хергита
trp_khergit_skirmisher|Застрельщик Хергита
trp_khergit_skirmisher_pl|Застрельщики Хергита
trp_khergit_horseman|Всадник Хергита
trp_khergit_horseman_pl|Всадники Хергита
trp_khergit_horse_archer|Пехотинец Республики
trp_khergit_horse_archer_pl|Пехотинцы Республики
trp_khergit_veteran_horse_archer|Югэкитай Республики
trp_khergit_veteran_horse_archer_pl|Югэкитай Республики
trp_khergit_lancer|Гвардеец Республики
